"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1509427","Renard bleu l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031246","2018-06-21 23:11:05"
"1476098","SMOOZ-Arbre chat 3 niveaux bambou l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031247","2018-06-22 01:12:54"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031259","2018-06-22 12:23:01"
"1398293","Armature metteur en scène FOTO sans toile l Prix exclu. Web","4.0000","4.0000","0.0000","0.0000","4.0000","000031272","2018-06-22 21:05:32"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031292","2018-06-23 13:16:40"
"1398238","Chaise Montebello l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000031310","2018-06-24 10:34:46"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031326","2018-06-24 15:53:04"
"1398238","Chaise Montebello l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031339","2018-06-25 07:28:06"
"1398293","Armature metteur en scène FOTO sans toile l Prix exclu. Web","6.0000","6.0000","0.0000","0.0000","6.0000","000031367","2018-06-25 15:41:52"
"1398238","Chaise Montebello l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000031383","2018-06-25 21:29:45"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031403","2018-06-26 17:51:31"
"1398304","Dalle de parasol 15 kg noir l Prix exclusivité Web","8.0000","0.0000","0.0000","8.0000","0.0000","000031433","2018-06-27 09:39:56"
"1398304","Dalle de parasol 15 kg noir l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000031447","2018-06-27 12:47:02"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031511","2018-06-28 12:53:47"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031511","2018-06-28 12:53:47"
"1476109","SMOOZ-Coussin ouatine pop 55cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031517","2018-06-28 20:19:44"
"1470176","Fauteuil Scandi l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031520","2018-06-29 05:46:27"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031681","2018-07-01 10:08:36"
"1398238","Chaise Montebello l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000031698","2018-07-01 14:05:12"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031700","2018-07-01 14:32:55"
"1398238","Chaise Montebello l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000031705","2018-07-01 15:32:22"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","0.0000","000031722","2018-07-01 17:26:38"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031724","2018-07-01 18:06:19"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031966","2018-07-05 12:04:12"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031979","2018-07-05 15:52:27"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031983","2018-07-05 17:17:23"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032027","2018-07-06 14:47:58"
"1476111","SMOOZ-Coussin ouatine pop 80cm l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000032038","2018-07-06 20:15:46"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032073","2018-07-07 12:27:00"
"1470176","Fauteuil Scandi l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000032103","2018-07-08 08:15:20"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032139","2018-07-08 18:16:01"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032179","2018-07-09 12:17:44"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000032198","2018-07-09 15:41:12"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032231","2018-07-10 06:40:53"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","1.0000","0.0000","1.0000","000032288","2018-07-10 20:34:10"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","0.0000","0.0000","0.0000","0.0000","000032328","2018-07-11 15:45:16"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032329","2018-07-11 16:47:49"
"1470176","Fauteuil Scandi l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000032336","2018-07-11 18:19:03"
"1398238","Chaise Montebello l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000032367","2018-07-12 13:37:23"
