attribute_code;options_code;label_marketing;info
1009_SAV;1009_SAV_451;NOIX -MIEL;
1009_SAV;1009_SAV_458;EXOTIQUES;
1009_SAV;1009_SAV_449;OEUF;
1009_SAV;1009_SAV_455;GRAINES;
1009_SAV;1009_SAV_456;CAROTTE PERSIL;
1009_SAV;1009_SAV_448;BERRY;
1009_SAV;1009_SAV_450;CARROT;
1009_SAV;1009_SAV_452;HERBS;
1009_SAV;1009_SAV_453;CHEESE;
1009_SAV;1009_SAV_454;APPLE;
1009_SAV;1009_SAV_429;POULET SAUMON;
1009_SAV;1009_SAV_428;POULET CREVETTES;
0109_LPEP;0109_LPEP_165;pot de 3 litres, faux-conteneur;
1010_TAI;1010_TAI_4890;12 étagères;
1002_COU;1002_COU_1192;MARINE/GRIS;
1002_COU;1002_COU_1193;BLEU CANARD;
1006_POI;1006_POI_287;1,5 kg + 500 g GRATUITS !;
